gene	count	unique_CDR3	unique_D	unique_J
IGHV1-2	72	62	19	4
IGHV1-2_S4872	517	433	27	6
IGHV1-2_S7832	399	335	30	6
IGHV1-2_S8393	1158	997	30	6
IGHV1-46	783	618	29	6
IGHV1-46_S3586	421	334	27	6
IGHV3-30	1217	967	28	6
IGHV4-59	1250	1015	30	6
IGHV4-59_S9468	950	861	30	6
IGHV5-51	1043	812	28	6
