gene	count	unique_CDR3	unique_V	unique_D
IGHJ1	53	49	9	17
IGHJ2	161	128	9	23
IGHJ3	478	407	10	27
IGHJ4	2433	2013	10	30
IGHJ5	2574	2105	10	30
IGHJ6_S0342	2111	1723	10	30
