gene	count	unique_CDR3	unique_D	unique_J
IGHV1-14*01_S2484	27793	12498	13	1
IGHV1-14*02_S7734	18869	10208	14	1
IGHV1-20*01_S0804	114644	44336	14	1
IGHV1-21*01_S6417	2025	992	13	1
IGHV1-30*01_S3151	659	395	13	1
IGHV1-37*01_S9108	216	98	12	1
