gene	count	unique_CDR3	unique_D	unique_J
IGHV1-10*01	36964	18223	13	4
IGHV1-14*02	6664	3208	13	5
IGHV1-14*01	13362	5774	13	3
IGHV1-17*01	8022	4276	13	4
IGHV1-20*01	16427	8570	13	3
IGHV1-21*01	29884	14647	13	4
IGHV1-25*01	184	105	12	2
IGHV1-27*01	34957	15309	14	4
IGHV1-30*02	6789	3790	13	4
IGHV1-30*01	6780	3546	13	3
IGHV1-32*01	3	3	3	2
IGHV1-32*02	4	4	3	1
IGHV1-37*01	489	267	12	2
IGHV1-39*01	930	432	12	3
IGHV1-39*03	133	88	9	2
IGHV1-7*01	6661	4663	13	4
IGHV1-7*02	5049	3868	13	4
