gene	count	unique_CDR3	unique_V	unique_D
Bostau_IGHJ1-4*01	19	11	8	5
Bostau_IGHJ1-6*01	4715	1443	20	12
Bostau_IGHJ2-3*01	1	1	1	1
Bostau_IGHJ2-4*01	169307	60265	25	14
Bostau_IGHJ2-6*01	534	0	14	11
