gene	count	unique_CDR3	unique_V	unique_J
Bostau_IGHD4-1*01	24	14	10	2
Bostau_IGHD6-2*01	65	26	9	1
Bostau_IGHD6-3*01	8	4	2	1
Bostau_IGHD7-3*01	30	18	7	1
