IGHV1-10*01_S1523	M02762:51:000000000-BPMD8:1:1101:18374:10678	M02762:51:000000000-BPMD8:1:1102:10135:24946	M02762:51:000000000-BPMD8:1:1103:14106:2839	M02762:51:000000000-BPMD8:1:1103:24157:20825	M02762:51:000000000-BPMD8:1:1107:13872:20711	M02762:51:000000000-BPMD8:1:1108:26866:6025	M02762:51:000000000-BPMD8:1:1108:12948:14720	M02762:51:000000000-BPMD8:1:1109:18079:12611	M02762:51:000000000-BPMD8:1:1109:11746:21126	M02762:51:000000000-BPMD8:1:1112:21170:5555	M02762:51:000000000-BPMD8:1:1114:13879:1498	M02762:51:000000000-BPMD8:1:1114:4572:12647	M02762:51:000000000-BPMD8:1:1116:10830:22468	M02762:51:000000000-BPMD8:1:2101:11673:2110	M02762:51:000000000-BPMD8:1:2101:9396:18463	M02762:51:000000000-BPMD8:1:2105:4130:12664	M02762:51:000000000-BPMD8:1:2107:3447:17161	M02762:51:000000000-BPMD8:1:2110:6612:6698	M02762:51:000000000-BPMD8:1:2116:26525:9329	M02762:51:000000000-BPMD8:1:2119:9422:3693
IGHV1-14*01_S2823	M02762:51:000000000-BPMD8:1:1104:23309:6468	M02762:51:000000000-BPMD8:1:1119:9109:23177	M02762:51:000000000-BPMD8:1:2111:27087:10855	M02762:51:000000000-BPMD8:1:2116:20940:3133	M02762:51:000000000-BPMD8:1:2119:15446:9333	M02762:51:000000000-BPMD8:1:2119:5432:17023
IGHV1-14*01_S1764	M02762:51:000000000-BPMD8:1:1103:5720:20558	M02762:51:000000000-BPMD8:1:1109:26128:16980	M02762:51:000000000-BPMD8:1:1111:8341:11293	M02762:51:000000000-BPMD8:1:1113:10059:18656	M02762:51:000000000-BPMD8:1:1118:22366:18366	M02762:51:000000000-BPMD8:1:2102:23152:12833	M02762:51:000000000-BPMD8:1:2112:13543:6725
IGHV1-14*01_S9501	M02762:51:000000000-BPMD8:1:1102:23344:8103	M02762:51:000000000-BPMD8:1:1110:15104:5370	M02762:51:000000000-BPMD8:1:1113:17523:1658	M02762:51:000000000-BPMD8:1:1113:6318:13907	M02762:51:000000000-BPMD8:1:1117:5374:9129	M02762:51:000000000-BPMD8:1:2119:13056:12976	M02762:51:000000000-BPMD8:1:2119:6468:16883
IGHV1-14*01_S1239	M02762:51:000000000-BPMD8:1:1104:4737:16934	M02762:51:000000000-BPMD8:1:1109:11939:19016	M02762:51:000000000-BPMD8:1:2102:18815:10985	M02762:51:000000000-BPMD8:1:2105:17053:4940	M02762:51:000000000-BPMD8:1:2116:21827:3832	M02762:51:000000000-BPMD8:1:2116:20599:14003	M02762:51:000000000-BPMD8:1:2117:11370:15001	M02762:51:000000000-BPMD8:1:2117:3354:15016	M02762:51:000000000-BPMD8:1:2118:10944:19845
IGHV1-14*01_S7075	M02762:51:000000000-BPMD8:1:1102:17637:15550	M02762:51:000000000-BPMD8:1:1103:9362:11719	M02762:51:000000000-BPMD8:1:1109:9904:20464	M02762:51:000000000-BPMD8:1:2109:17380:15258	M02762:51:000000000-BPMD8:1:2110:18047:14115	M02762:51:000000000-BPMD8:1:2116:2362:13168	M02762:51:000000000-BPMD8:1:2117:6243:7707
IGHV1-14*01_S8697	M02762:51:000000000-BPMD8:1:1101:10460:12570	M02762:51:000000000-BPMD8:1:2102:18199:16855	M02762:51:000000000-BPMD8:1:2103:15597:19194	M02762:51:000000000-BPMD8:1:2104:27590:15224	M02762:51:000000000-BPMD8:1:2119:8039:4704
IGHV1-14*01_S0070	M02762:51:000000000-BPMD8:1:1101:10304:8250	M02762:51:000000000-BPMD8:1:1102:7283:10932	M02762:51:000000000-BPMD8:1:1102:4246:17980	M02762:51:000000000-BPMD8:1:1103:25264:21241	M02762:51:000000000-BPMD8:1:1103:19526:22293	M02762:51:000000000-BPMD8:1:1104:20286:9462	M02762:51:000000000-BPMD8:1:1105:12031:18845	M02762:51:000000000-BPMD8:1:1105:13546:20283	M02762:51:000000000-BPMD8:1:1106:15698:11641	M02762:51:000000000-BPMD8:1:1107:8228:13573	M02762:51:000000000-BPMD8:1:1108:5685:4436	M02762:51:000000000-BPMD8:1:1108:8742:5982	M02762:51:000000000-BPMD8:1:1108:12553:7972	M02762:51:000000000-BPMD8:1:1108:26932:10138	M02762:51:000000000-BPMD8:1:1108:5578:15062	M02762:51:000000000-BPMD8:1:1109:12486:18021	M02762:51:000000000-BPMD8:1:1110:9946:6937	M02762:51:000000000-BPMD8:1:1110:11085:7386	M02762:51:000000000-BPMD8:1:1112:19162:6865	M02762:51:000000000-BPMD8:1:1112:23523:21028	M02762:51:000000000-BPMD8:1:1114:10654:18939	M02762:51:000000000-BPMD8:1:1114:16905:21624	M02762:51:000000000-BPMD8:1:1114:11525:22663	M02762:51:000000000-BPMD8:1:1116:5580:8151	M02762:51:000000000-BPMD8:1:1116:12208:19828	M02762:51:000000000-BPMD8:1:1117:12208:2815	M02762:51:000000000-BPMD8:1:1117:23808:12814	M02762:51:000000000-BPMD8:1:1117:13389:16740	M02762:51:000000000-BPMD8:1:1119:23619:21159	M02762:51:000000000-BPMD8:1:2103:19441:13435	M02762:51:000000000-BPMD8:1:2103:14465:13921	M02762:51:000000000-BPMD8:1:2105:16025:3055	M02762:51:000000000-BPMD8:1:2105:25495:9768	M02762:51:000000000-BPMD8:1:2105:18715:19504	M02762:51:000000000-BPMD8:1:2106:14281:7577	M02762:51:000000000-BPMD8:1:2106:28381:10742	M02762:51:000000000-BPMD8:1:2106:18889:12208	M02762:51:000000000-BPMD8:1:2106:16610:13870	M02762:51:000000000-BPMD8:1:2107:22945:8340	M02762:51:000000000-BPMD8:1:2109:17961:7667	M02762:51:000000000-BPMD8:1:2109:11532:13435	M02762:51:000000000-BPMD8:1:2109:10465:16883	M02762:51:000000000-BPMD8:1:2110:23841:4266	M02762:51:000000000-BPMD8:1:2110:15280:17785	M02762:51:000000000-BPMD8:1:2110:13406:21797	M02762:51:000000000-BPMD8:1:2110:8815:23856	M02762:51:000000000-BPMD8:1:2113:7440:12009	M02762:51:000000000-BPMD8:1:2114:11584:1771	M02762:51:000000000-BPMD8:1:2114:14873:7561	M02762:51:000000000-BPMD8:1:2114:23846:15321	M02762:51:000000000-BPMD8:1:2115:19902:3541	M02762:51:000000000-BPMD8:1:2116:24057:19860	M02762:51:000000000-BPMD8:1:2117:18617:23438	M02762:51:000000000-BPMD8:1:2118:19189:21081	M02762:51:000000000-BPMD8:1:2119:15517:10310	M02762:51:000000000-BPMD8:1:2119:4377:15836
IGHV1-14*01_S3671	M02762:51:000000000-BPMD8:1:1104:17255:7251	M02762:51:000000000-BPMD8:1:1106:27037:6527	M02762:51:000000000-BPMD8:1:1107:21889:12896	M02762:51:000000000-BPMD8:1:1110:23918:5754	M02762:51:000000000-BPMD8:1:1111:5126:11744	M02762:51:000000000-BPMD8:1:1114:13519:2291	M02762:51:000000000-BPMD8:1:1116:26128:9371	M02762:51:000000000-BPMD8:1:2107:16669:15200	M02762:51:000000000-BPMD8:1:2110:24120:2217	M02762:51:000000000-BPMD8:1:2110:14786:15769	M02762:51:000000000-BPMD8:1:2115:11892:7390
IGHV1-14*01_S8512	M02762:51:000000000-BPMD8:1:1111:9839:18946	M02762:51:000000000-BPMD8:1:1114:10718:7975	M02762:51:000000000-BPMD8:1:2110:28246:14764	M02762:51:000000000-BPMD8:1:2113:14583:8271
