gene	count	unique_CDR3	unique_V	unique_J
Bostau_IGHD4-1*01	24	14	5	1
Bostau_IGHD6-2*01	59	25	7	1
Bostau_IGHD6-3*01	8	4	4	1
Bostau_IGHD7-3*01	30	18	6	1
